City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,marka,1.7159,44.7717,297.27,81,57,7.49,SO,1737171325
83,sitka,57.0531,-135.33,277.09,87,100,2.06,US,1737171326
84,pa sang,18.5262,98.9394,297.47,57,53,0.86,TH,1737171327
85,choibalsan,48.0667,114.5,268.01,43,17,4.2,MN,1737171328
86,bethel,41.3712,-73.414,273.65,76,0,2.57,US,1737171330
87,mettmann,51.25,6.9667,272.46,100,100,2.06,DE,1737171331
88,bondowoso,-7.9135,113.8214,301.83,79,92,1.0,ID,1737171332
89,port lincoln,-34.7333,135.8667,299.01,53,0,7.02,AU,1737171334
90,albany,42.6001,-73.9662,271.38,80,71,0.89,US,1737171319
91,geraldton,-28.7667,114.6,300.38,50,0,10.29,AU,1737171318
92,la passe,45.5549,-0.8967,274.58,86,0,3.11,FR,1737171337
93,kidal,18.4411,1.4078,290.8,12,100,3.61,ML,1737171338
94,hawaiian paradise park,19.5933,-154.9731,297.88,78,20,4.12,US,1737171339
95,bredasdorp,-34.5322,20.0403,289.94,92,1,1.28,ZA,1737171258
96,bubaque,11.2833,-15.8333,297.91,52,99,6.09,GW,1737171341
97,iqaluit,63.7506,-68.5145,254.0,78,40,0.0,CA,1737171342
98,san patricio,28.017,-97.5169,292.12,89,100,1.35,US,1737171343
99,enewetak,11.3474,162.3373,300.49,78,62,7.74,MH,1737171344
100,guayaramerin,-10.8368,-65.3614,297.37,80,91,0.88,BO,1737171345
101,pimentel,-6.8367,-79.9342,296.31,68,0,4.63,PE,1737171347
102,dunedin,-45.8742,170.5036,288.04,84,100,3.6,NZ,1737171348
103,puerto ayora,-0.7393,-90.3518,297.9,96,52,0.45,EC,1737171349
104,sassandra,4.95,-6.0833,297.65,92,21,2.29,CI,1737171350
105,remire-montjoly,4.9167,-52.2667,299.17,78,100,2.06,GF,1737171336
106,sarangani,5.4033,125.4636,300.97,76,24,11.28,PH,1737171352
107,qaqortoq,60.7167,-46.0333,263.77,61,88,3.4,GL,1737171353
108,tenno,39.9,139.9667,277.15,62,100,5.55,JP,1737171354
109,tazovsky,67.4667,78.7,259.87,95,100,3.8,RU,1737171355
110,kafin hausa,12.2375,9.908,293.42,19,25,4.04,NG,1737171356
111,talnakh,69.4865,88.3972,254.48,96,100,4.25,RU,1737171357
112,ambositra,-20.5167,47.25,292.36,93,100,0.81,MG,1737171358
113,papatowai,-46.5619,169.4708,286.94,96,100,1.41,NZ,1737171359
114,malmslatt,58.411,15.5165,280.18,93,100,6.17,SE,1737171360
115,nyurba,63.2842,118.3319,245.07,94,100,0.46,RU,1737171361
